Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ST6GALNAC5		1	1	52	1.9%	No
LGALS14		1	1	52	1.9%	No
ASPM		1	1	52	1.9%	No
SBF2		2	2	52	3.8%	No
OGN		1	1	52	1.9%	No
CELF2		1	1	52	1.9%	No
CDC42BPG		1	1	52	1.9%	No
ZNF821		1	1	52	1.9%	No
AGPAT4		1	1	52	1.9%	No
KRTAP1-1		1	1	52	1.9%	No
INPP4A		1	1	52	1.9%	Yes
CEP95		1	1	52	1.9%	No
INPP5B		1	1	52	1.9%	No
INPPL1		3	2	52	3.8%	Yes
FLNB		1	1	52	1.9%	No
FLNA		2	2	52	3.8%	No
A2M		1	1	52	1.9%	No
FLG		2	2	52	3.8%	No
STAB2		1	1	52	1.9%	No
NAT1		1	1	52	1.9%	No
INSR		3	3	52	5.8%	Yes
RFX8		1	1	52	1.9%	No
INSRR		2	2	52	3.8%	No
CTCF	2.980e-2	1	1	52	1.9%	Yes
EIF3E		1	1	52	1.9%	Yes
FLNC		4	4	52	7.7%	No
FMO2		1	1	52	1.9%	No
UBE2Q1		1	1	52	1.9%	No
PYHIN1		1	1	52	1.9%	No
RGS14		1	1	52	1.9%	No
TMEM132D		1	1	52	1.9%	No
IPP		1	1	52	1.9%	No
OPHN1		1	1	52	1.9%	No
ITGA6		1	1	52	1.9%	No
POSTN		1	1	52	1.9%	No
IREB2		2	2	52	3.8%	No
ITGA1		1	1	52	1.9%	No
CDH10		1	1	52	1.9%	No
CAMKK2		1	1	52	1.9%	No
AFF2		2	2	52	3.8%	No
CDH4		1	1	52	1.9%	No
OR3A2		1	1	52	1.9%	No
LRGUK		1	1	52	1.9%	No
ORC1		1	1	52	1.9%	No
ORC2		1	1	52	1.9%	No
ZXDB		1	1	52	1.9%	No
YTHDF3		1	1	52	1.9%	No
AGAP9		1	1	52	1.9%	No
CYP4X1		1	1	52	1.9%	No
FOLR3		1	1	52	1.9%	No
KASH5		1	1	52	1.9%	No
ZNF587		1	1	52	1.9%	No
ATP13A3		1	1	52	1.9%	No
CDC73		1	1	52	1.9%	Yes
CDH17		1	1	52	1.9%	No
STAMBP		1	1	52	1.9%	No
CDH16		1	1	52	1.9%	No
PTPN22		3	2	52	3.8%	No
SPRR2D		1	1	52	1.9%	No
FBXW2		1	1	52	1.9%	No
ITGB6		1	1	52	1.9%	No
ITGB7		1	1	52	1.9%	No
POLR3C		1	1	52	1.9%	No
CDKN1B	2.100e-5	1	1	52	1.9%	Yes
IVNS1ABP		1	1	52	1.9%	No
FPGS		1	1	52	1.9%	No
ITGAX		1	1	52	1.9%	No
SPTBN2		1	1	52	1.9%	No
FANK1		1	1	52	1.9%	No
BOD1L1		2	2	52	3.8%	No
SRP68		2	2	52	3.8%	No
ARMH3		1	1	52	1.9%	No
ZFYVE19		1	1	52	1.9%	No
INTS1		1	1	52	1.9%	No
CDR2		1	1	52	1.9%	No
CDR1		1	1	52	1.9%	No
ITIH2		1	1	52	1.9%	No
ARGFX		1	1	52	1.9%	No
